id	output
{"chainId":59144,"tokenAddress":"0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"}	{"name": "Wrapped Ether", "symbol": "WETH", "decimals": 18}
{"chainId":59144,"tokenAddress":"0x2416092f143378750bb29b79eD961ab195CcEea5"}	{"name": "Renzo Restaked ETH", "symbol": "ezETH", "decimals": 18}
{"chainId":59144,"tokenAddress":"0x1Bf74C010E6320bab11e2e5A532b5AC15e0b8aA6"}	{"name": "Wrapped eETH", "symbol": "weETH", "decimals": 18}
{"chainId":59144,"tokenAddress":"0x3aAB2285ddcDdaD8edf438C1bAB47e1a9D05a9b4"}	{"name": "Wrapped BTC", "symbol": "WBTC", "decimals": 8}
{"chainId":59144,"tokenAddress":"0xB5beDd42000b71FddE22D3eE8a79Bd49A568fC8F"}	{"name": "Wrapped liquid staked Ether 2.0", "symbol": "wstETH", "decimals": 18}
{"chainId":59144,"tokenAddress":"0x176211869cA2b568f2A7D4EE941E073a821EE1ff"}	{"name": "USDC", "symbol": "USDC", "decimals": 6}
{"chainId":59144,"tokenAddress":"0xA219439258ca9da29E9Cc4cE5596924745e12B93"}	{"name": "Tether USD", "symbol": "USDT", "decimals": 6}
{"chainId":137,"tokenAddress":"0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174"}	{"name": "USD Coin (PoS)", "symbol": "USDC", "decimals": 6}
{"chainId":137,"tokenAddress":"0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619"}	{"name": "Wrapped Ether", "symbol": "WETH", "decimals": 18}
{"chainId":137,"tokenAddress":"0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270"}	{"name": "Wrapped Polygon Ecosystem Token", "symbol": "WPOL", "decimals": 18}
{"chainId":137,"tokenAddress":"0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6"}	{"name": "(PoS) Wrapped BTC", "symbol": "WBTC", "decimals": 8}
{"chainId":137,"tokenAddress":"0x172370d5Cd63279eFa6d502DAB29171933a610AF"}	{"name": "CRV (PoS)", "symbol": "CRV", "decimals": 18}
{"chainId":137,"tokenAddress":"0xD6DF932A45C0f255f85145f286eA0b292B21C90B"}	{"name": "Aave (PoS)", "symbol": "AAVE", "decimals": 18}
{"chainId":137,"tokenAddress":"0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063"}	{"name": "(PoS) Dai Stablecoin", "symbol": "DAI", "decimals": 18}
{"chainId":137,"tokenAddress":"0x385Eeac5cB85A38A9a07A70c73e0a3271CfB54A7"}	{"name": "Aavegotchi GHST Token (PoS)", "symbol": "GHST", "decimals": 18}
{"chainId":137,"tokenAddress":"0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39"}	{"name": "ChainLink Token", "symbol": "LINK", "decimals": 18}
{"chainId":137,"tokenAddress":"0x0b3F868E0BE5597D5DB7fEB59E1CADBb0fdDa50a"}	{"name": "SushiToken (PoS)", "symbol": "SUSHI", "decimals": 18}
{"chainId":137,"tokenAddress":"0x85955046DF4668e1DD369D2DE9f3AEB98DD2A369"}	{"name": "DefiPulse Index (PoS)", "symbol": "DPI", "decimals": 18}
{"chainId":137,"tokenAddress":"0xc2132D05D31c914a87C6611C10748AEb04B58e8F"}	{"name": "USDT0", "symbol": "USDT0", "decimals": 6}
{"chainId":137,"tokenAddress":"0xE111178A87A3BFf0c8d18DECBa5798827539Ae99"}	{"name": "STASIS EURS Token (PoS)", "symbol": "EURS", "decimals": 2}
{"chainId":137,"tokenAddress":"0x9a71012B13CA4d3D0Cdc72A177DF3ef03b0E76A3"}	{"name": "Balancer (PoS)", "symbol": "BAL", "decimals": 18}
{"chainId":137,"tokenAddress":"0xfa68FB4628DFF1028CFEc22b4162FCcd0d45efb6"}	{"name": "Liquid Staking Matic (PoS)", "symbol": "MaticX", "decimals": 18}
{"chainId":137,"tokenAddress":"0xa3Fa99A148fA48D14Ed51d610c367C61876997F1"}	{"name": "miMATIC", "symbol": "miMATIC", "decimals": 18}
{"chainId":137,"tokenAddress":"0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4"}	{"name": "Staked MATIC (PoS)", "symbol": "stMATIC", "decimals": 18}
{"chainId":137,"tokenAddress":"0xE0B52e49357Fd4DAf2c15e02058DCE6BC0057db4"}	{"name": "EURA (previously agEUR)", "symbol": "EURA", "decimals": 18}
{"chainId":137,"tokenAddress":"0x4e3Decbb3645551B8A19f0eA1678079FCB33fB4c"}	{"name": "Jarvis Synthetic Euro", "symbol": "jEUR", "decimals": 18}
