id	output
{"chainId":59144,"vaultAddress":"0xa8A02E6a894a490D04B6cd480857A19477854968"}	"0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"
{"chainId":59144,"vaultAddress":"0x873FEA936C29C8a9f3e0D7caCFC1Dc46E2A93e56"}	"0x2416092f143378750bb29b79eD961ab195CcEea5"
{"chainId":59144,"vaultAddress":"0xF4712fC5E6483DE9e1Ff661D95DD686664327086"}	"0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"
{"chainId":59144,"vaultAddress":"0xf1666e72928012694c38201f895dEAc55c3B567f"}	"0xB5beDd42000b71FddE22D3eE8a79Bd49A568fC8F"
{"chainId":59144,"vaultAddress":"0xb747b627C3b67cDC0Aeaf78FD7174aE5E5Bfa796"}	"0xD2671165570f41BBB3B0097893300b6EB6101E6C"
{"chainId":59144,"vaultAddress":"0xb135dcF653DAFB5ddAa93F926D7000Aa3222EFEE"}	"0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"
{"chainId":59144,"vaultAddress":"0x9947f3D2aE676bE4612Eb4d80e94f6441E47A2a9"}	"0x2416092f143378750bb29b79eD961ab195CcEea5"
{"chainId":59144,"vaultAddress":"0xF29ac58e23904Ce3057afe2F9c430c87703DA982"}	"0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"
{"chainId":59144,"vaultAddress":"0xb11FD944Cf5E8678B5Db42305aff03B7942A3CaB"}	"0x3aAB2285ddcDdaD8edf438C1bAB47e1a9D05a9b4"
{"chainId":59144,"vaultAddress":"0x14EfcC1Ae56e2fF75204Ef2Fb0DE43378d0beaDA"}	"0x176211869cA2b568f2A7D4EE941E073a821EE1ff"
{"chainId":59144,"vaultAddress":"0x8955d7dCdE9bD9694B64732aD28fF2113eb217B4"}	"0x1Bf74C010E6320bab11e2e5A532b5AC15e0b8aA6"
{"chainId":59144,"vaultAddress":"0x42267dC26FCece525F04E75dA3fA596f88ceDDe0"}	"0x4809010926aec940b550D34a46A52739f996D75D"
{"chainId":59144,"vaultAddress":"0x64623F8617F0019FC155a84c5061b472577d23d0"}	"0xacA92E438df0B2401fF60dA7E4337B687a2435DA"
{"chainId":59144,"vaultAddress":"0xB770dc4be757Ad72BCb7b8FF4958FB5c6Ee5Aa49"}	"0xB5beDd42000b71FddE22D3eE8a79Bd49A568fC8F"
{"chainId":59144,"vaultAddress":"0x359e363c11fC619BE76EEC8BaAa01e61D521aA18"}	"0xB5beDd42000b71FddE22D3eE8a79Bd49A568fC8F"
{"chainId":59144,"vaultAddress":"0x179DfD3eCDC6f5B8F8788584F3289D10c6F1afb8"}	"0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"
{"chainId":59144,"vaultAddress":"0x4789D8066Cac17fd24F24206a49aBC72830604F1"}	"0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"
{"chainId":59144,"vaultAddress":"0x92Ba0dED54184ab00f7EdD1bc5Eba488cC8d9dE0"}	"0x1Bf74C010E6320bab11e2e5A532b5AC15e0b8aA6"
{"chainId":59144,"vaultAddress":"0x5DF4080d8d1a85457d699E6a85255fc4087B8Abf"}	"0xD2671165570f41BBB3B0097893300b6EB6101E6C"
{"chainId":59144,"vaultAddress":"0x8bf8EdC911Ab3f0ea4a27c51Cb88b57ccE5356f1"}	"0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"
{"chainId":59144,"vaultAddress":"0xfB6448B96637d90FcF2E4Ad2c622A487d0496e6f"}	"0x176211869cA2b568f2A7D4EE941E073a821EE1ff"
{"chainId":59144,"vaultAddress":"0x573d66781fAcC83d6B6914F7E327C82E3182AF6A"}	"0xD2671165570f41BBB3B0097893300b6EB6101E6C"
{"chainId":59144,"vaultAddress":"0xd890507bb7F760294ACc0d99Ac7243144D6Dc5d3"}	"0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"
{"chainId":59144,"vaultAddress":"0x9aC2F0A564B7396A8692E1558d23a12d5a2aBb1F"}	"0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"
{"chainId":59144,"vaultAddress":"0xBA28Cf86c3186f93398B44624842693A2A0c3B24"}	"0xF29ac58e23904Ce3057afe2F9c430c87703DA982"
{"chainId":59144,"vaultAddress":"0xCBeF9be95738290188B25ca9A6Dd2bEc417a578c"}	"0xA219439258ca9da29E9Cc4cE5596924745e12B93"
{"chainId":59144,"vaultAddress":"0xAd3b410283f74a7528F5A5056493b9E24b68b082"}	"0xD2671165570f41BBB3B0097893300b6EB6101E6C"
{"chainId":59144,"vaultAddress":"0x085f80Df643307e04f23281F6fdbfAA13865E852"}	"0xA219439258ca9da29E9Cc4cE5596924745e12B93"
{"chainId":59144,"vaultAddress":"0xA7ada0D422a8b5FA4A7947F2CB0eE2D32435647d"}	"0xacA92E438df0B2401fF60dA7E4337B687a2435DA"
{"chainId":59144,"vaultAddress":"0x3cc7963fa503fe32053f177c444855a71068A839"}	"0xB5beDd42000b71FddE22D3eE8a79Bd49A568fC8F"
{"chainId":59144,"vaultAddress":"0xf3C6598A9Bc60771dCd4dD448Fb56122B7f8588a"}	"0x1789e0043623282D5DCc7F213d703C6D8BAfBB04"
{"chainId":59144,"vaultAddress":"0x0E5D3CD3ba65d1e5f76b1A47Af79766462C2A737"}	"0xacA92E438df0B2401fF60dA7E4337B687a2435DA"
{"chainId":59144,"vaultAddress":"0x140bD9A62Ba84fbF78d9e3dd4A94FdaFC999FAF5"}	"0xD2671165570f41BBB3B0097893300b6EB6101E6C"
{"chainId":59144,"vaultAddress":"0x8932FF8491C49AA9a1Fa1da01daBcb342CEf3698"}	"0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f"
{"chainId":59144,"vaultAddress":"0xE27C2571F6D1b942bBB438a37b0171C64B469e1F"}	"0x176211869cA2b568f2A7D4EE941E073a821EE1ff"
{"chainId":59144,"vaultAddress":"0x1dA14e692956382804A06Ce38B984f56DE457D7d"}	"0x1Bf74C010E6320bab11e2e5A532b5AC15e0b8aA6"
{"chainId":43114,"vaultAddress":"0x3Ace079D5b0398688089030bD6062a079A0D5CE4"}	"0x66f9E7C1a356Aed33551a31a7f58D222aC4c87A9"
{"chainId":43114,"vaultAddress":"0xadba39E46DC9D7A4d70EF558F1A401D1fd9EedA0"}	"0xA25EaF2906FA1a3a13EdAc9B9657108Af7B703e3"
{"chainId":43114,"vaultAddress":"0x54D21eFA02939DbFDBE7C53bc129FeF47C24C655"}	"0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB"
{"chainId":43114,"vaultAddress":"0x2Ae461FAcb8CE5Ba8A08FD3AB4621Dbf66CBf073"}	"0x152b9d0FdC40C096757F570A51E494bd4b943E50"
{"chainId":43114,"vaultAddress":"0x103C26AE2c7ED8Bd9f42448885B7B3193F67c503"}	"0x24dE8771bC5DdB3362Db529Fc3358F2df3A0E346"
